sequence_id,prediction,confidence
sco_12057at7157_Anopheles_albimanus,sco12057at7157,1.0
sco_12060at7157_Anopheles_albimanus,sco12060at7157,1.0
sco_12078at7157_Anopheles_albimanus,sco12078at7157,1.0
sco_12089at7157_Anopheles_albimanus,sco12089at7157,1.0
sco_1208at7157_Anopheles_albimanus,sco1208at7157,1.0
sco_12098at7157_Anopheles_albimanus,sco12098at7157,1.0
sco_12102at7157_Anopheles_albimanus,sco12102at7157,1.0
sco_12107at7157_Anopheles_albimanus,sco12107at7157,1.0
sco_12132at7157_Anopheles_albimanus,sco12132at7157,1.0
sco_12139at7157_Anopheles_albimanus,sco12139at7157,1.0
sco_12141at7157_Anopheles_albimanus,sco12141at7157,1.0
sco_12146at7157_Anopheles_albimanus,sco12146at7157,1.0
sco_12148at7157_Anopheles_albimanus,sco12148at7157,1.0
sco_1216at7157_Anopheles_albimanus,sco1216at7157,1.0
sco_12175at7157_Anopheles_albimanus,sco12175at7157,1.0
sco_12189at7157_Anopheles_albimanus,sco12189at7157,1.0
sco_12198at7157_Anopheles_albimanus,sco12198at7157,1.0
sco_1219at7157_Anopheles_albimanus,sco1219at7157,1.0
sco_121at7157_Anopheles_albimanus,sco121at7157,1.0
sco_12217at7157_Anopheles_albimanus,sco12217at7157,1.0
sco_12219at7157_Anopheles_albimanus,sco12219at7157,1.0
sco_12220at7157_Anopheles_albimanus,sco12220at7157,1.0
sco_12234at7157_Anopheles_albimanus,sco12234at7157,1.0
sco_12251at7157_Anopheles_albimanus,sco12251at7157,1.0
sco_12253at7157_Anopheles_albimanus,sco12253at7157,1.0
sco_12271at7157_Anopheles_albimanus,sco12271at7157,1.0
sco_12274at7157_Anopheles_albimanus,sco12274at7157,1.0
sco_12277at7157_Anopheles_albimanus,sco12277at7157,1.0
sco_12279at7157_Anopheles_albimanus,sco12279at7157,1.0
sco_12283at7157_Anopheles_albimanus,sco12283at7157,1.0
sco_12297at7157_Anopheles_albimanus,sco12297at7157,1.0
sco_12302at7157_Anopheles_albimanus,sco12302at7157,1.0
sco_12307at7157_Anopheles_albimanus,sco12307at7157,1.0
sco_1230at7157_Anopheles_albimanus,sco1230at7157,1.0
sco_12315at7157_Anopheles_albimanus,sco12315at7157,1.0
sco_12320at7157_Anopheles_albimanus,sco12320at7157,1.0
sco_12325at7157_Anopheles_albimanus,sco12325at7157,1.0
sco_12330at7157_Anopheles_albimanus,sco12330at7157,1.0
sco_12342at7157_Anopheles_albimanus,sco12342at7157,1.0
sco_12371at7157_Anopheles_albimanus,sco12371at7157,1.0
sco_12373at7157_Anopheles_albimanus,sco12373at7157,1.0
sco_12374at7157_Anopheles_albimanus,sco12374at7157,1.0
sco_12378at7157_Anopheles_albimanus,sco12378at7157,1.0
sco_12403at7157_Anopheles_albimanus,sco12403at7157,1.0
sco_12405at7157_Anopheles_albimanus,sco12405at7157,1.0
sco_12412at7157_Anopheles_albimanus,sco12412at7157,1.0
sco_12426at7157_Anopheles_albimanus,sco12426at7157,1.0
sco_12438at7157_Anopheles_albimanus,sco12438at7157,1.0
sco_12454at7157_Anopheles_albimanus,sco12454at7157,1.0
sco_12456at7157_Anopheles_albimanus,sco12456at7157,1.0
sco_12457at7157_Anopheles_albimanus,sco12457at7157,1.0
sco_12460at7157_Anopheles_albimanus,sco12460at7157,1.0
sco_12473at7157_Anopheles_albimanus,sco12473at7157,1.0
sco_12478at7157_Anopheles_albimanus,sco12478at7157,1.0
sco_1249at7157_Anopheles_albimanus,sco1249at7157,1.0
sco_12504at7157_Anopheles_albimanus,sco12504at7157,1.0
sco_12582at7157_Anopheles_albimanus,sco12582at7157,1.0
sco_12601at7157_Anopheles_albimanus,sco12601at7157,1.0
sco_12608at7157_Anopheles_albimanus,sco12608at7157,1.0
sco_12619at7157_Anopheles_albimanus,sco12619at7157,1.0
sco_12624at7157_Anopheles_albimanus,sco12624at7157,1.0
sco_12627at7157_Anopheles_albimanus,sco12627at7157,1.0
sco_12633at7157_Anopheles_albimanus,sco12633at7157,1.0
sco_12640at7157_Anopheles_albimanus,sco12640at7157,1.0
sco_12647at7157_Anopheles_albimanus,sco12647at7157,1.0
sco_12649at7157_Anopheles_albimanus,sco12649at7157,1.0
sco_12651at7157_Anopheles_albimanus,sco12651at7157,1.0
sco_12665at7157_Anopheles_albimanus,sco12665at7157,1.0
sco_12672at7157_Anopheles_albimanus,sco12672at7157,1.0
sco_12678at7157_Anopheles_albimanus,sco12678at7157,1.0
sco_1270at7157_Anopheles_albimanus,sco1270at7157,1.0
sco_12738at7157_Anopheles_albimanus,sco12738at7157,1.0
sco_12746at7157_Anopheles_albimanus,sco12746at7157,1.0
sco_12758at7157_Anopheles_albimanus,sco12758at7157,1.0
sco_12765at7157_Anopheles_albimanus,sco12765at7157,1.0
sco_12771at7157_Anopheles_albimanus,sco12771at7157,1.0
sco_12781at7157_Anopheles_albimanus,sco12781at7157,1.0
sco_12782at7157_Anopheles_albimanus,sco12782at7157,1.0
sco_12786at7157_Anopheles_albimanus,sco12786at7157,1.0
sco_12793at7157_Anopheles_albimanus,sco25760at7157,0.99946684
sco_12795at7157_Anopheles_albimanus,sco12795at7157,1.0
sco_12796at7157_Anopheles_albimanus,sco12796at7157,1.0
sco_12797at7157_Anopheles_albimanus,sco12797at7157,1.0
sco_12801at7157_Anopheles_albimanus,sco12801at7157,1.0
sco_12806at7157_Anopheles_albimanus,sco12806at7157,1.0
sco_12820at7157_Anopheles_albimanus,sco12820at7157,1.0
sco_12824at7157_Anopheles_albimanus,sco12824at7157,1.0
sco_12827at7157_Anopheles_albimanus,sco12827at7157,1.0
sco_12830at7157_Anopheles_albimanus,sco12830at7157,1.0
sco_12844at7157_Anopheles_albimanus,sco12844at7157,1.0
sco_12852at7157_Anopheles_albimanus,sco12852at7157,1.0
sco_12868at7157_Anopheles_albimanus,sco12868at7157,1.0
sco_1286at7157_Anopheles_albimanus,sco1286at7157,1.0
sco_12877at7157_Anopheles_albimanus,sco12877at7157,1.0
sco_1287at7157_Anopheles_albimanus,sco1287at7157,1.0
sco_12883at7157_Anopheles_albimanus,sco12883at7157,1.0
sco_12902at7157_Anopheles_albimanus,sco12902at7157,1.0
sco_12904at7157_Anopheles_albimanus,sco12904at7157,1.0
sco_12905at7157_Anopheles_albimanus,sco12905at7157,1.0
